Prefix,Name
10.31.2.0/24,BIXP-v4
100.128.0.0/24,PKIXP- Lahore-v4
101.203.104.0/24,BBIX-v4
101.203.169.0/24,UNY-IX
101.97.43.0/24,Equinix Perth_v4
103.101.136.0/24,CitraIX-v4
103.101.137.0/26,CitraIX-v4
103.101.137.192/26,CitraIX-v4
103.103.194.0/24,MMIX v4
103.104.146.0/24,NIXA IPv4 Subnet
103.104.19.0/24,GetaFIX v4
103.110.223.0/24,IIX-Lampung
103.115.147.0/24,Amaravati Internet Exchange v4
103.115.193.0/24,MARIIX v4
103.115.3.0/24,INIXP Asia
103.116.193.0/24,MMIX_ MDL_IPv4
103.119.232.0/23,DE-CIX-Malaysia-IPv4
103.119.234.0/24,DE-CIX-KL-v4
103.119.235.0/24,DE-CIX Johor Bahru-IPv4
103.121.64.0/24,MHK-IX
103.125.54.0/23,AIX-BD
103.127.88.0/23,BBIX (Thailand) v4
103.129.155.0/24,REDIX Chennai v4
103.129.62.0/26,BIX v4
103.136.100.0/25,EdgeIX Darwin
103.136.100.128/25,EgdeIX Hobart v4
103.136.101.0/25,EdgeIX Adelaide v4
103.136.102.0/24,EdgeIX - Perth
103.14.9.0/24,SYMPHONY THAI - IX v4
103.140.210.0/24,Equinix-Seoul-v4
103.142.153.0/24,Guam-IX-v4
103.146.134.0/24,Noakhali-IX
103.147.194.0/23,Fiji-IXP-v4
103.149.217.0/24,CIX Australia - v4
103.151.196.0/23,BDIX v4
103.154.40.0/24,NNIX-v4
103.156.182.0/23,NIXI Mumbai
103.158.187.0/24,STUIX-v4
103.16.102.0/23,SGIX IPv4
103.161.216.0/23,ISPAB-NIX-v4
103.162.254.0/24,JBIX v4
103.162.82.0/24,Borneo-IX-v4
103.168.98.0/23,CNIXP-v4
103.17.108.0/23,MIX NDC v4
103.177.65.0/25,JPIX Fukuoka-v4
103.183.26.0/23,SHIXP-v4
103.188.179.0/24,Equinix Mumbai v4
103.203.156.0/23,Asia Smart IX [BBIX Asia]
103.203.158.0/23,BBIX Hong Kong
103.218.247.0/24,NIXI Chennai
103.225.171.0/24,CloudXchange-v4
103.225.173.0/24,CloudXchange_v4_subnet
103.228.154.0/24,DE-CIX Delhi v4
103.228.155.0/24,DE-CIX Chennai v4
103.246.232.0/24,JPIX OSAKA
103.247.139.0/24,AMS-IX HK IPv4
103.25.228.0/24,VIXv4
103.26.68.0/23,MegaIX Sydney v4
103.26.70.0/24,MegaIX Brisbane v4
103.26.71.0/24,MegaIX Melbourne v4
103.27.168.0/24,DE-CIX Kolkata v4
103.27.170.0/23,Mumbai IX v4
103.28.74.0/23,IIX
103.41.12.0/22,MegaIX Singapore v4
103.48.48.0/23,MegaIX Hong Kong v4
103.55.161.0/24,MVIX-v4
103.7.144.0/24,CNX-v4-1
103.74.224.0/24,IIFON IX v4
103.77.108.0/23,Extreme-IX Mumbai v4
103.77.110.0/24,Extreme IX Hyderabad v4
103.8.60.0/24,MISPA-IXP-v4
103.82.247.0/24,PNG-IXP
103.94.93.0/24,CHC-IX
104.167.214.128/28,HamroIX-Amsterdam-v4
104.167.214.144/28,HamroIX-Rome-v4
112.137.24.0/24,AMS-IX Singapore
116.206.112.0/23,TRUE-IX-v4
116.89.244.0/24,GetaFIX-Cebu-v4
119.11.184.0/24,JKT-IX v4
119.110.117.0/24,MCIX
119.27.63.0/24,Equinix Hong Kong
128.0.45.0/24,Iraq-IXP-v4
131.72.77.240/28,ttix-2
138.204.244.0/24,CABASE-SLU v4
138.204.245.0/24,CABASE-PER v4
138.204.246.0/24,CABASE-TUC v4
138.204.247.0/24,CABASE-NGB v4
138.204.248.0/24,CABASE-SZP v4
138.204.250.0/24,JJY
138.204.254.0/24,CABASE-OGB - IX Argentina (Moreno)
139.150.100.0/23,KINX v4
143.255.59.0/24,IXGDL IPv4
144.92.233.224/28,MadIX
146.185.252.0/24,PITER-IX Kiev
149.112.0.0/24,WIX-v4
149.112.1.0/24,NEO-IX IPv4
149.112.103.0/24,TheSCAX IPv4 peering subnet
149.112.11.0/24,DE-CIX Chicago-v4
149.112.114.0/24,PIE-v4
149.112.13.0/24,SLIX-v4
149.112.17.0/24,DesMoinesIX-v4
149.112.18.0/24,Denver-IX IPv4
149.112.26.0/24,Lambda IX-v4
149.112.3.0/24,48ix-v4
149.112.30.0/24,SKNIX-v4
149.112.31.0/24,MWestIX_v4
149.112.32.0/24,SBH-IX-v4
149.112.51.0/24,TUSIX
149.112.52.0/24,IdahoIX
149.112.7.0/24,Texas-IX-v4
149.112.8.0/24,COIX-v4
154.73.42.0/24,BDIXP v4
157.10.16.0/23,ILIX-v4
163.53.87.0/24,ANI-IX v4
164.132.186.192/26,VIXP-v4
167.179.252.0/23,JasTel IX-v4
168.243.16.0/24,IXSAL-v4
169.255.176.0/22,CAS-IX
170.82.113.0/27,IXP-APROSVA v4
172.16.96.0/24,LANIC IPv4 Subnet 1
172.16.97.0/24,LANIC IPv4 Subnet 2
176.126.38.0/25,GR-IX v4
178.216.40.0/21,EPIX.Katowice v4
179.0.201.0/24,Intered v4
181.188.0.240/28,TTIXv4
181.210.17.0/24,IXP-HN v4
183.177.61.0/24,Equinix Melbourne
185.0.16.0/24,POMIX-v4
185.0.19.0/24,GPC-Missouri-v4
185.0.20.0/23,Peering.czv4
185.0.26.0/24,TurkIX-v4
185.0.28.0/24,NetIX-Greece-v4
185.0.37.0/24,RiyadhIX-v4
185.1.100.0/25,ANIX v4
185.1.101.0/24,Equinix Manchester v4
185.1.102.0/24,Equinix Frankfurt v4
185.1.103.0/24,RoNIX-v4
185.1.104.0/24,Equinix London v4
185.1.105.0/24,Community-IX.ch v4
